File: milvus
Build ID: ab33ced09ece335eaf903ef7cf0c319016afd529
Type: cpu
Time: 2026-09-17 12:13:20 CST
Duration: 30s, Total samples = 7.48s (24.93%)
Showing nodes accounting for 6.09s, 81.42% of 7.48s total
Dropped 252 nodes (cum <= 0.04s)
Showing top 30 nodes out of 211
      flat  flat%   sum%        cum   cum%
     1.82s 24.33% 24.33%      1.82s 24.33%  internal/runtime/syscall/linux.Syscall6
     0.91s 12.17% 36.50%      0.91s 12.17%  runtime.memmove
     0.75s 10.03% 46.52%      1.17s 15.64%  google.golang.org/protobuf/internal/impl.consumeFloatSlice
     0.74s  9.89% 56.42%      0.74s  9.89%  runtime.memclrNoHeapPointers
     0.35s  4.68% 61.10%      0.35s  4.68%  google.golang.org/protobuf/encoding/protowire.ConsumeFixed32 (inline)
     0.21s  2.81% 63.90%      0.32s  4.28%  google.golang.org/protobuf/internal/impl.appendFloatPackedSlice
     0.10s  1.34% 65.24%      0.10s  1.34%  google.golang.org/protobuf/encoding/protowire.AppendFixed32 (inline)
     0.09s  1.20% 66.44%      0.30s  4.01%  github.com/milvus-io/milvus/pkg/v3/util/typeutil.GetPK
     0.08s  1.07% 67.51%      0.08s  1.07%  runtime.futex
     0.08s  1.07% 68.58%      0.16s  2.14%  runtime.scanObject
     0.07s  0.94% 69.52%      0.07s  0.94%  internal/sync.(*Mutex).Lock
     0.06s   0.8% 70.32%      0.11s  1.47%  github.com/milvus-io/milvus/pkg/v3/util/typeutil.GetSizeOfIDs
     0.06s   0.8% 71.12%      0.06s   0.8%  runtime.step
     0.06s   0.8% 71.93%      0.08s  1.07%  runtime.tryDeferToSpanScan
     0.06s   0.8% 72.73%      0.06s   0.8%  runtime.typePointers.next
     0.05s  0.67% 73.40%      0.11s  1.47%  github.com/milvus-io/milvus/internal/util/queryutil.(*OrderedReduceStream).getReadyBuffers
     0.05s  0.67% 74.06%      0.19s  2.54%  github.com/milvus-io/milvus/pkg/v3/util/typeutil.AppendFieldData
     0.05s  0.67% 74.73%      0.05s  0.67%  internal/runtime/atomic.(*Uint32).CompareAndSwap
     0.05s  0.67% 75.40%      0.05s  0.67%  runtime.(*mheap).allocNeedsZero
     0.05s  0.67% 76.07%      0.05s  0.67%  runtime.nanotime (inline)
     0.05s  0.67% 76.74%      0.05s  0.67%  runtime.nextFreeFast (inline)
     0.05s  0.67% 77.41%      0.13s  1.74%  runtime.scanObjectsSmall
     0.05s  0.67% 78.07%      0.08s  1.07%  time.now
     0.04s  0.53% 78.61%      0.04s  0.53%  github.com/milvus-io/milvus-proto/go-api/v3/schemapb.(*IDs).GetIntId (inline)
     0.04s  0.53% 79.14%      0.04s  0.53%  internal/runtime/atomic.(*Uint32).Add (inline)
     0.04s  0.53% 79.68%      0.10s  1.34%  runtime.stealWork
     0.04s  0.53% 80.21%      0.04s  0.53%  sync/atomic.(*Pointer[go.shape.struct { sync.poolDequeue; sync.next sync/atomic.Pointer[sync.poolChainElt]; sync.prev sync/atomic.Pointer[sync.poolChainElt] }]).Load (inline)
     0.03s   0.4% 80.61%      0.57s  7.62%  google.golang.org/grpc/internal/mem.(*sizedBufferPool).Get
     0.03s   0.4% 81.02%      0.20s  2.67%  runtime.(*mheap).allocSpan
     0.03s   0.4% 81.42%      0.04s  0.53%  runtime.(*mspan).nextFreeIndex
